mu,alpha,sigma_inicial,replica,aptitud
50,1.15,0.5,4,1.8201816617240856
50,1.15,0.5,5,1.7486094652651794
50,1.15,0.5,6,1.7431001923873264
50,1.15,0.5,7,1.9646847122487516
50,1.15,0.5,8,1.735195852130003
50,1.15,0.5,9,1.7303157391973232
50,1.15,1.5,0,1.7385794290359933
50,1.15,1.5,1,1.812759327391026
50,1.15,1.5,2,1.8860668542584615
50,1.15,1.5,3,1.733670581845545
50,1.15,1.5,4,1.9864316903532586
50,1.15,1.5,5,1.8038198092848496
50,1.15,1.5,6,1.8773122336545867
50,1.15,1.5,7,1.852965845882362
50,1.15,1.5,8,1.744688909603657
50,1.15,1.5,9,1.7342190366086603
50,1.15,3.0,0,1.7328142567406266
50,1.15,3.0,1,1.7778627943607375
